id,name,club,countryName
5930,ZFC Meuselwitz,Meuselwitz,Germany
5931,SV Yesilyurt,SV Yesilyurt Berlin,Germany
6006,SC Regensburg,SC Regensburg,Germany
6825,Herforder SV Borussia Friedenstal,Herforder SV,Germany
6826,SC 07 Bad Neuenahr II,SC 07 Bad Neuenahr II,Germany
6831,FC Oberneuland,Oberneuland,Germany
6832,VfL 93 Hamburg,VfL Hamburg,Germany
6833,SV Henstedt-Ulzburg,Henstedt-Ulzburg,Germany
6834,SV Ramlingen / Ehlershausen,Ramlingen / Ehlershausen,Germany
6835,VSK Osterholz-Scharmbeck,Osterholz-Scharmbeck,Germany
6836,FC Schönberg 95,Schönberg,Germany
6837,SV Germania 90 Schöneiche,Germania Schöneiche,Germany
6838,Lichterfelder FC Berlin,Lichterfelder FC,Germany
6839,FC Carl Zeiss Jena II,Carl Zeiss Jena II,Germany
6840,SV Dessau 05,SV Dessau 05,Germany
6841,SSG 09 Bergisch Gladbach,Bergisch Gladbach,Germany
6842,SV 1919 Straelen,SV 1919 Straelen,Germany
6843,Hammer Spielvereinigung,Hammer SpVg,Germany
6844,Sportfreunde Oestrich-Iserlohn,Sportfreunde Oestrich-Iserlohn,Germany
6845,FSV Braunfels,FSV Braunfels,Germany
6846,RSV Würges,Würges,Germany
6847,SV Bernbach,SV Bernbach,Germany
6848,FSV Salmrohr 1921,Salmrohr,Germany
6849,TuS Hohenecken,TuS Hohenecken,Germany
6850,1. FC Pforzheim,FC Pforzheim,Germany
6851,Bahlinger SC,Bahlinger SC,Germany
6852,SV Bonlanden,Bonlanden,Germany
6853,1. FC Eintracht Bamberg,Eintracht Bamberg,Germany
6854,SpVgg Bayern Hof,Bayern Hof,Germany
6855,SpVgg Weiden,Weiden,Germany
6856,SV Heimstetten,Heimstetten,Germany
6919,SV Roßbach / Verscheid,Roßbach / Verscheid,Germany
6920,TSG Thannhausen,Thannhausen,Germany
6921,1. FC Gera 03,Gera,Germany
7090,Germany Under 20,Germany U20,Germany
7291,SV 67 Weinberg,Weinberg,Germany
7292,SV Dirmingen,Dirmingen,Germany
7293,TGM SV Jügesheim,TGM SV Jügesheim,Germany
8565,1. FC Union Berlin,Union Berlin,Germany
8590,FFC Oldesloe,Oldesloe,Germany
8591,MSV Duisburg II,Duisburg II,Germany
8592,FC Bayern München II,Bayern München II,Germany
8593,ASV Hagsfeld,Hagsfeld,Germany
8651,SV Seligenporten,Seligenporten,Germany
8652,SC Victoria Hamburg,Victoria Hamburg,Germany
8653,TSV Havelse,Havelse,Germany
8692,Mellendorfer TV 1919,Mellendorfer TV,Germany
8693,FSV 02 Schwerin,FSV 02 Schwerin,Germany
8695,Energie Cottbus,Energie Cottbus,Germany
8696,Geestemünder SC,Geestemünder SC,Germany
8697,Magdeburger FFC,Magdeburger FFC,Germany
8698,FC Bergedorf 85,Bergedorf 85,Germany
8699,TSV Uengershausen,TSV Uengershausen,Germany
8700,Hegauer FV,Hegauer FV,Germany
8701,SV Eutingen,SV Eutingen,Germany
8702,SV Johannstadt 90 Dresden,SV Johannstadt 90 Dresden,Germany
8703,1. FFV Erfurt,FFV Erfurt,Germany
8704,TuS Ahrbach,Ahrbach,Germany
